"PV1SCIE","PV1READ","PV1MATH","SOCONPA","INFOJOB2","INFOJOB1","INFOCAR","ICTOUTSIDE","ICTCLASS","HOMESCH","ENTUSE","BELONG","MASTGOAL","RESILIENCE","SWBP","EUDMO","GFOFAIL","WORKMAST","COMPETE","ATTLNACT","PISADIFF","SCREADDIFF","SCREADCOMP","JOYREAD","TEACHINT","ADAPTIVITY","STIMREAD","PERFEED","DIRINS","TEACHSUP","DISCLIMA","ICTRES","WEALTH","HEDRES","CULTPOSS","HOMEPOS","ICTSCH","ICTHOME","ESCS","CHANGE","SCCHANGE","AGE","GRADE","ST016Q01NA","IMMIG","HISEI","HISCED","FISCED","MISCED","ISCEDL","ST001D01T","REPEAT","ST004D01T"
567.058,585.411,582.294,0.9078,0.027,1.9988,0.8265,0.4272,-0.1651,0.1909,0.2821,-0.5797,0.9703,0.2883,-0.5928,-1.2631,1.3423,0.487,2.0054,0.0321,-0.8863,-1.126,1.2374,0.1984,0.9684,-0.0791,1.0419,-0.3253,-0.254,-0.8566,1.3671,1.2943,0.6711,0.0477,0.4235,0.6794,7,10,1.0433,0,0,16,1,3,1,73.71,6,6,6,3,10,0,1
547.892,569.85,514.991,0.9078,0.8028,1.2572,0.9151,-0.8181,-1.2188,0.0568,-0.4653,-0.5707,0.1123,0.3139,1.2386,0.2621,0.4637,-0.1015,-0.2661,0.0083,-0.7816,0.0755,1.8839,2.6131,0.9684,2.0073,2.0871,2.0165,0.006,0.6259,-0.5964,0.135,0.0102,-1.0527,2.3457,0.6524,6,8,1.1976,0,0,15.92,1,5,1,82.41,6,6,6,3,10,0,1
656.132,673.967,661.182,-0.3986,-1.4728,1.9988,0.3039,-1.3048,-0.1648,-0.1799,0.6112,0.9517,-0.4347,-0.0328,1.2386,-1.306,-0.1748,-1.3692,1.1811,-0.6583,-1.272,-0.524,0.8214,-2.7114,0.3345,-0.9282,0.4798,-0.3253,1.0067,0.7015,-1.2051,0.0895,0.3611,0.0477,0.683,0.4091,7,8,1.0575,0,0,16.08,1,9,1,80.46,6,6,5,3,10,0,2
661.457,679.549,671.327,0.9078,-1.2239,-0.9254,-1.9166,-1.2534,2.3579,-0.7466,0.0259,-0.3184,-0.094,-0.0614,-0.5928,-0.6723,-0.4342,-1.1187,0.7871,1.0844,0.2705,-0.0697,0.1222,-1.1285,-0.2934,0.4572,0.5102,0.7743,-0.7134,-0.2023,-0.3214,2.6563,3.1882,0.0477,-0.2173,0.9674,9,11,1.0264,0,0,15.83,0,7,1,79.05,5,5,4,2,9,0,2
547.881,485.582,530.545,0.9078,0.202,0.5109,-0.2182,0.0889,-1.2188,-0.4757,0.1696,-0.3184,-1.4972,-0.8273,-1.3186,-0.6723,0.4637,-0.1015,0.1956,-0.6583,0.8232,1.2421,-0.825,-1.7421,-0.2934,-0.1687,-0.0999,-0.3253,0.0836,0.7628,0.361,2.0259,2.2338,-0.6853,0.1172,1.2135,4,11,1.5172,0,0,15.83,1,3,1,86.72,6,6,6,3,10,0,2
488.192,560.421,503.235,0.1965,-1.4728,-0.9778,-1.8457,-1.3048,-0.4333,-0.4433,0.45,-0.7034,-0.8444,-1.0583,-0.5928,-0.9827,1.1911,-1.3692,-0.9792,0.4626,0.2705,0.409,-0.4089,-0.1843,0.1744,0.0183,0.1494,-0.3253,-0.1342,1.314,-0.5148,1.8669,0.9808,1.1793,2.3457,2.187,3,10,1.6538,0,0,15.33,0,5,1,72.27,6,6,6,2,9,0,2
594.903,600.402,562.342,0.3691,0.2691,-0.9778,-1.0967,0.1261,-1.2188,-0.2796,-0.2764,0.9303,-0.6331,0.7877,0.1869,0.2621,-0.2006,-1.034,2.0054,-0.6583,1.0453,0.409,-0.7391,0.3171,0.1744,-0.2644,-0.6575,0.5121,-0.0418,-0.9422,-0.417,0.5236,-0.1323,-0.9649,-0.7992,-0.5647,7,8,0.6633,2,2,15.25,0,7,2,81.4,6,6,6,2,9,0,2
613.078,568.226,618.966,0.9078,-1.4728,-0.9778,-0.4107,0.6655,1.1042,-0.0315,-0.2593,-0.445,0.8347,-0.5787,0.5012,-1.3951,-0.687,-0.7233,0.7871,0.0281,-0.2888,-1.8876,0.1222,0.9908,-0.3919,0.1915,-0.103,0.2012,-0.5794,-0.2023,-0.0424,0.0895,-0.0389,1.1793,2.3457,1.1324,7,9,0.1681,1,1,15.25,0,6,2,30.34,5,5,4,2,9,0,2
387.402,433.761,383.723,-0.0974,-1.4728,1.9988,0.284,-0.4809,-0.5232,-0.0335,-0.4659,0.0348,-0.4347,-0.0614,1.2386,1.348,1.0671,-0.1015,0.7871,0.4626,1.2958,1.5959,-0.825,-0.4556,0.9276,-0.9282,-0.9225,-0.3253,0.0836,1.314,0.1938,0.5236,0.7083,1.1793,1.514,1.2405,8,10,0.9227,0,0,15.75,1,9,1,54.92,6,6,4,3,10,0,1
674.836,673.328,681.644,0.9078,-1.4077,1.7343,0.5312,-0.2005,-0.2468,-0.5116,-0.8798,-0.5878,-0.5589,-0.5782,-1.3186,-0.9827,-0.2459,-0.0039,0.7871,-1.1507,-0.4593,0.409,0.6994,0.5935,-0.5905,1.1813,-0.3605,-0.6555,-0.3893,0.7628,0.3264,0.1789,-0.0857,0.0477,1.3575,0.671,8,9,1.0927,0,0,16.17,1,7,1,76.49,6,6,6,3,10,0,1
